# panel-epoch.csv — THE position-epoch panel (spec §1 unit), plan 10-09
# 
# measured: 2026-07-27   git commit: a2c1f04
# command: econometrics epoch-panel --endpoint https://api.goldsky.com/api/public/project_cl9gc21q105380hxuh8ks53k3/subgraphs/panoptic-subgraph-base/dev/gn --pool 0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a
# working directory: repository root (all paths below are repo-relative)
# 
# subgraph endpoint: https://api.goldsky.com/api/public/project_cl9gc21q105380hxuh8ks53k3/subgraphs/panoptic-subgraph-base/dev/gn
# underlying pool (V4 poolId): 0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a
# PanopticPool: 0xb50e8bb68f5855da742f4579274902a20454174a (ETH/USDC, fee 500)
# SFPM read target: 0x8dcAa08cF298F8b4830FAf56d47930981AdE33af
# VEGOID / nu: 8 / 0.125 — applied INSIDE the contract's X64 accumulator, never re-applied here
# 
# accumulator readings: notes/structural-econometrcics/data/premium-accumulators.csv (8910 rows, blocks 43781657..48157721, epochs 492876..495306)
# gate population: notes/structural-econometrcics/data/panel.csv (55 tokenIds)
# gate verdict: notes/structural-econometrcics/data/reconcile.md — GATE: PASS, short-stratum median rel error 0.0, worst 5.447268e-4, tolerance 0.01
# telescoping cross-check: notes/structural-econometrcics/data/reconcile-errors.csv — TELESCOPE_MISMATCHES 0, PANEL_SUM_MISMATCHES 0
# variance series: notes/structural-econometrcics/data/variance-hourly.csv (hourly)
# 
# epoch rule: floor(unixSeconds / 3600) via
#   Panel.Epoch.epochOfSeconds — the SAME function the variance series uses.
#   The join is an exact INTEGER match; UNMATCHED_EPOCHS = 0.
# epoch attribution: a row's premium is the accumulator difference over the
#   interval STARTING at that epoch's boundary block, so it accrued during
#   epoch e and is regressed on sigma^2_e measured over the same hour.
# 
# premium_wei: Integer, currency0 (ETH), seller-side sign as the protocol emits it.
#   CANONICAL. premium_eth = premium_wei / 1e18 is the regression LHS.
#   Summing premium_wei over a tokenId's rows reproduces that spell's
#   gate-validated recon_wei EXACTLY (Panoptic.Premium.decomposePremium).
# strike_tick: Leg.strike, ALREADY an int24 tick — no round(log K / log 1.0001).
# pool_tick: the epoch's mean pool tick from the same V4 Swap series as sigma^2.
# moneyness: Model.Upsilon.moneyness strike_tick pool_tick = |i_K - i_t|.
# flags: ';'-separated Panoptic.Premium.PremiumFlag values; rows are RETAINED.
# n_swaps: swaps behind this epoch's sigma^2. n_swaps = 0 marks an hour in
#   which the pool saw no trade at all (sigma^2 = 0 measured, pool tick carried
#   forward); 3 such row(s) here.
# 
# PANEL_ROWS 6760 / PANEL_TOKENIDS 55 / PANEL_EPOCHS 1887 / MULTI_EPOCH_TOKENIDS 52 / FLAGGED_ROWS 6760
# SPELL_EPOCH_ROWS 6766 (the 10-01 census's per-SPELL count; PANEL_ROWS is per (tokenId, epoch), so a tokenId holding two spells that share an hour contributes one row where the census counted two)
# within-position epochs: median 10.000000, max 1176; top-10 tokenId row share 0.841272 — precision is bounded by the 55 CLUSTERS, not by the row count.
# Phase-9 baseline 61 spell rows; GAIN_FACTOR 110.819672
token_id,account,epoch,premium_wei,premium_eth,strike_tick,pool_tick,moneyness,is_long,leg_count,flags,sigma2,sigma2_instrument,n_swaps
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495118,0,0.0,-202990,-202726,264.0,0,1,Extrapolated,6.099390055911571e-6,8.11918807442656e-6,171
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495119,0,0.0,-202990,-202730,260.0,0,1,Extrapolated,5.229477047937307e-6,6.909309063335907e-6,130
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495120,0,0.0,-202990,-202753,237.0,0,1,Extrapolated,1.4678532134554424e-5,1.6668333152794438e-5,182
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495121,0,0.0,-202990,-202794,196.0,0,1,Extrapolated,8.60913907891781e-6,1.1528847105682057e-5,219
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495122,0,0.0,-202990,-202978,12.0,0,1,Extrapolated,3.7977202248126946e-4,2.326067391322442e-4,609
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495123,29432028813,2.9432028813e-8,-202990,-202963,27.0,0,1,Extrapolated,8.672132779494978e-5,9.64203578838586e-5,567
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495124,0,0.0,-202990,-202850,140.0,0,1,Extrapolated,6.839316062694291e-6,9.489051086983756e-6,268
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495125,0,0.0,-202990,-202850,140.0,0,1,Extrapolated,7.879212072226755e-6,1.0118988092758232e-5,214
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495126,0,0.0,-202990,-202813,177.0,0,1,Extrapolated,2.0927907191828757e-5,2.430756922280862e-5,281
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495127,0,0.0,-202990,-202688,302.0,0,1,Extrapolated,7.759224071126862e-6,1.0258974094041447e-5,251
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495128,0,0.0,-202990,-202733,257.0,0,1,Extrapolated,8.579142078642827e-6,1.0568943096882857e-5,226
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495129,0,0.0,-202990,-202807,183.0,0,1,Extrapolated,9.7390260892752e-6,1.3098690120072417e-5,249
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495130,0,0.0,-202990,-202863,127.0,0,1,Extrapolated,1.1718828107423544e-5,1.2128787111181557e-5,208
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495131,0,0.0,-202990,-202885,105.0,0,1,Extrapolated,1.4808519135726795e-5,1.670832915314117e-5,197
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495132,-29432028813,-2.9432028813e-8,-202990,-202923,67.0,0,1,Extrapolated,1.308869111997918e-4,1.2004799510042509e-4,475
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,495133,48636641935,4.8636641935e-8,-202990,-202916,74.0,0,1,Extrapolated,9.812018789942619e-5,1.1153884602243246e-4,527
